公司,年月,TCRI,總分,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收,TSE產業別,c_0,c_1,c_2,c_3,c_4
2408 南亞科,2008/12/31,7.0,133.0,-101.56,0,4.52,-26.99,-65.26,2.33,-10.0,-2.0,256.0,369.0,24,168.37283325195312,6.9993324279785165,23.99569320678711,9.423883007286804e-09,10.632144927978516
2409 友達,2008/12/31,4.0,715.0,1320.58,0,1.31,3.77,8.99,3.54,-8.0,-7.0,54.0,4239.0,26,0.0,0.0,0.0,0.0,0.0
2412 中華電,2008/12/31,1.0,929.0,920.71,0,0.0,10.17,29.07,3.0,-2.0,6.0,0.0,2017.0,27,0.0,0.0,0.0,0.0,0.0
2419 仲琦,2008/12/31,7.0,410.0,5.05,0,1.92,3.47,5.1,4.82,-47.0,-20.0,66.0,39.0,27,0.0,0.0,0.0,0.0,0.0
2429 銘旺科,2008/12/31,0.0,-766.0,1.16,0,2.74,-7.97,2.33,4.92,-20.0,-30.0,4416.0,10.0,28,1.0,8.996595325129285e-37,7.904048841369749e-30,0.0,0.0
2438 翔耀,2008/12/31,0.0,254.0,22.9,0,2.32,-15.94,-11.88,6.27,2.0,-4.0,125.0,88.0,26,0.0,0.0,0.0,0.0,0.0
2439 美律,2008/12/31,4.0,675.0,16.64,0,0.39,9.05,7.27,3.85,1.0,-3.0,16.0,87.0,27,0.0,0.0,0.0,0.0,0.0
2444 兆勁,2008/12/31,7.0,329.0,-0.28,0,0.55,-0.8,-1.54,3.09,14.0,1.0,32.0,24.0,27,0.0,0.0,0.0,0.0,0.0
2448 晶電,2008/12/31,4.0,554.0,27.58,0,0.95,0.48,7.36,3.66,15.0,-7.0,10.0,103.0,26,0.0,0.0,0.0,0.0,0.0
2450 神腦,2008/12/31,4.0,844.0,19.4,0,0.01,17.67,6.39,22.46,-13.0,-2.0,0.0,221.0,27,0.0,0.0,0.0,0.0,0.0
2451 創見,2008/12/31,4.0,854.0,15.61,0,0.08,12.49,6.91,2.17,1.0,10.0,10.0,344.0,24,0.0,0.0,0.0,0.0,0.0
2461 光群雷,2008/12/31,6.0,435.0,6.13,0,1.04,2.91,5.78,3.34,12.0,5.0,39.0,35.0,31,0.0,0.0,0.0,0.0,0.0
2472 立隆電,2008/12/31,7.0,304.0,2.78,0,1.26,-2.75,-1.09,2.6,-2.0,6.0,54.0,37.0,28,0.0,0.0,0.0,0.0,0.0
2474 可成,2008/12/31,4.0,795.0,51.52,0,1.47,11.51,25.52,3.05,13.0,16.0,37.0,190.0,31,0.0,0.0,0.0,0.0,0.0
