公司碼,日期,序碼,說明,出事原因
1201 味全,2014/9/4,01A01,1.為維護消費者權益，主動自行下架部分肉鬆及肉醬產品並接受消費者退貨,9 環保與安全
1201 味全,2014/9/4,01A02,2.本公司銷售之部份肉鬆及肉醬產品，因部分原料使用到強冠企業所生產之全統,9 環保與安全
1201 味全,2014/9/4,01A03,香豬油，本公司已主動通報台北市衛生局，自即日起將相關產品主動預防性下,9 環保與安全
1201 味全,2014/9/4,01A04,架回收並接受消費者退貨，同時配合主管機關進行檢驗查核。,9 環保與安全
1762 中化生,2014/9/4,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1762 中化生,2014/9/4,01A01,1.有關本公司今日早上火警說明。,9 環保與安全
1762 中化生,2014/9/4,01A02,2.本公司於今日上午9點10分左右，因生產後使用板框過濾器移除菌渣時起火燃,9 環保與安全
1762 中化生,2014/9/4,01A03,燒，消防人員於15分鐘內撲滅；本事件無人員受傷，亦無有毒氣體產生，起火,9 環保與安全
1762 中化生,2014/9/4,01A04,原因仍待查。初估財產損失約新台幣二百萬元，已由保險公司處理中。,9 環保與安全
1905 華紙,2014/9/4,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1905 華紙,2014/9/4,01A01,1.公告本公司花蓮廠木片倉發生火警事宜,9 環保與安全
1905 華紙,2014/9/4,01A02,2.花蓮廠木片倉於中午發生火警，經消防人員撲滅後，火勢已控制，起火原因尚,9 環保與安全
1905 華紙,2014/9/4,01A03,待調查。初估財產損失約新台幣二百萬元，已由保險公司處理中。,9 環保與安全
1210 大成,2014/9/1,01001,"＊發生其他負面事件,其他",U 其他
1210 大成,2014/9/1,01A01,1.澄清中時電子報及中國時報A12版之報導:悠活渡假村詐領補助款被收押人之一,U 其他
1210 大成,2014/9/1,01A02,李岳竹筠為大成長城的董娘,U 其他
1210 大成,2014/9/1,01A03,2.李岳竹筠在民國86年之前曾為大成長城企業股份有限公司財務主管，已於86年,U 其他
1210 大成,2014/9/1,01A04,退休，並非大成長城企業股份有限公司之”董娘”。,U 其他
2337 旺宏,2014/8/27,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2337 旺宏,2014/8/27,01A01,1.旺宏告美商飛索侵權 傳捷報,7 訴訟案件
2337 旺宏,2014/8/27,01A02,2.採用飛索產品的安奈特公司（Allied Telesis）已不再進口美國含飛索涉案產,7 訴訟案件
2337 旺宏,2014/8/27,01A03,品的商品，並已於8月14日正式向ITC申請核可其承諾（Consent Order），一,7 訴訟案件
2337 旺宏,2014/8/27,01A04,旦經ITC核可之後，安奈特將不得進口美國任何含有該飛索涉案產品的商品。,7 訴訟案件
2371 大同,2014/8/27,01001,"＊發生其他負面事件,其他",U 其他
2371 大同,2014/8/27,01A01,1.澄清媒體廣告報導:國家通訊傳播委員會(NCC)就大同電信決定不予換照事宜。,U 其他
2371 大同,2014/8/27,01A02,2.本公司已於101年3月30日出售大同之全部股權予威達雲端電訊，與本公司無涉,U 其他
1314 中石化,2014/8/27,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1314 中石化,2014/8/27,01A01,1.澄清壹週刊692期之報導:北台石化管線曝光新板特區危險,9 環保與安全
1314 中石化,2014/8/27,01A02,2.本公司並無管線位於該媒體所述北部管線分布圖之中，特此澄清說明。,9 環保與安全
2633 台灣高鐵,2014/8/25,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2633 台灣高鐵,2014/8/25,01A01,1.股東戶號45XXX張姓股東請求本公司收回丙二種特別股股本訴訟案判決結果,7 訴訟案件
2633 台灣高鐵,2014/8/25,01A02,2.本件經臺灣士林地方法院民事庭審理後，於今日宣判，其判決主要內容為被告,7 訴訟案件
2633 台灣高鐵,2014/8/25,01A03,應給付原告0.24億元及利息，原告其餘之訴駁回。,7 訴訟案件
2206 三陽工業,2014/8/22,01001,"＊發生其他負面事件,其他",U 其他
2206 三陽工業,2014/8/22,01A01,1.澄清工商時報103年8月22日報導:三陽負責人變更登記，經部二度駁回,U 其他
2206 三陽工業,2014/8/22,01A02,2.因本公司負責人變更登記文件部份不符商業司規定，本公司已於103/08/13完,U 其他
2206 三陽工業,2014/8/22,01A03,成補正程序。又，經濟部商業司考量本公司補正函覆內容部份事涉公開發行公,U 其他
2206 三陽工業,2014/8/22,01A04,司董事會議事辦法疑義，故函請金融監督管理委員會解釋。是故，經濟部商業,U 其他
2206 三陽工業,2014/8/22,01A05,司並無駁回本公司負責人變更登記申請，特此澄清。,U 其他
1560 中砂,2014/8/18,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
1560 中砂,2014/8/18,01A01,宋健民先生向美國德拉瓦州法院起訴本公司、美國Intel公司及美國WaferTech公,7 訴訟案件
1560 中砂,2014/8/18,01A02,司之產品侵害其專利,7 訴訟案件
2390 云辰,2014/8/18,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2390 云辰,2014/8/18,01A01,1.本公司就請求地檢署調查是否有禿鷹集團操縱市場之違法行為，提出抗告說明,7 訴訟案件
2390 云辰,2014/8/18,01A02,2.基亞生技股價重挫，報導指大股東介入炒股。基亞最大股東云辰電子表示，董,7 訴訟案件
2390 云辰,2014/8/18,01A03,事黃子亮及公司並未賣股，今天向北檢提告請求調查是否有禿鷹集團操縱市場,7 訴訟案件
1301 台塑,2014/8/14,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1301 台塑,2014/8/14,01A01,1.澄清報導內容:六輕旁學童 體內致癌物多2倍,9 環保與安全
1301 台塑,2014/8/14,01A02,2.針對媒體報導國家衛生研究院委託進行「雲林縣石化工業區附近國小師生健康,9 環保與安全
1301 台塑,2014/8/14,01A03,狀況調查」初步調查結果，本公司說明如下：一、此研究作法在國際上仍存在,9 環保與安全
1301 台塑,2014/8/14,01A04,許多爭議，所以非常贊同專家學者認為需再做進一步調查研究之主張，才有助,9 環保與安全
1301 台塑,2014/8/14,01A05,於真相之釐清。二、本公司生產廠均為製程全密閉化，尾氣並經焚化處理及吸,9 環保與安全
1301 台塑,2014/8/14,01A06,收、中和後才排放，針對逸散管制有五道防護及監測措施。三、本公司將持續,9 環保與安全
1301 台塑,2014/8/14,01A07,加強落實污染管制，依照政府相關規定，進行廠內及廠外環境品質檢測作業，,9 環保與安全
1301 台塑,2014/8/14,01A08,並透過定期員工及民眾健康檢查與追蹤管理，促進六輕員工及附近居民健康。,9 環保與安全
2331 精英,2014/8/13,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2331 精英,2014/8/13,01A01,臺灣高等法院就本公司董事林蔚山因違反證券交易法乙案二審判決，當事人將委,7 訴訟案件
2331 精英,2014/8/13,01A02,請律師提出上訴。,7 訴訟案件
2371 大同,2014/8/13,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2371 大同,2014/8/13,01A01,臺灣高等法院就本公司董事長林蔚山因違反證券交易法乙案二審判決，當事人將,7 訴訟案件
2371 大同,2014/8/13,01A02,委請律師提出上訴。,7 訴訟案件
2475 華映,2014/8/13,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2475 華映,2014/8/13,01A01,臺灣高等法院就本公司董事長林蔚山因違反證券交易法乙案二審判決，當事人將,7 訴訟案件
2475 華映,2014/8/13,01A02,委請律師提出上訴。,7 訴訟案件
6225 天瀚,2014/8/13,01001,"＊發生財務危機,繼續經營疑慮",E 繼續經營疑慮
6225 天瀚,2014/8/13,01A01,會計師對其繼續經營假設有疑慮,E 繼續經營疑慮
1724 台硝,2014/8/13,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1724 台硝,2014/8/13,01A01,1.澄清媒體103/8/13報導本公司『台硝硝酸毒霧外洩居民嗆封路』、『台硝又洩,9 環保與安全
1724 台硝,2014/8/13,01A02,毒氣 居民怒：安檢攏是假』之新聞。,9 環保與安全
1724 台硝,2014/8/13,01A03,2.有關報導昨天(8/12)上午7點30分左右本公司桃園廠(非為報載所稱「海湖廠」,9 環保與安全
1724 台硝,2014/8/13,01A04,)硝酸外洩，黃色煙霧飄出廠外，特此澄清說明:桃園廠因機械疲乏而導致硝化,9 環保與安全
1724 台硝,2014/8/13,01A05,分解產生NOx氣體，本廠立即啟動緊急抽風裝置，予半小時把硝煙去除，並無,9 環保與安全
1724 台硝,2014/8/13,01A06,任何損傷及財產損失，亦不會影響生產。,9 環保與安全
1724 台硝,2014/8/13,01A07,3.有關桃園縣政府環保局、人力資源及北檢所到本公司桃園廠關切並做檢查，尚,9 環保與安全
1724 台硝,2014/8/13,01A08,未對本廠發出問題生產線停工，只有北檢所表示開罰6萬元。,9 環保與安全
2491 吉祥全,2014/8/12,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2491 吉祥全,2014/8/12,01A01,1.子公司董事長訴訟案,7 訴訟案件
2491 吉祥全,2014/8/12,01A02,2.最高法院檢察署特別偵查組認為子公司董事長謝漢金有違反證券交易法提起公,7 訴訟案件
2491 吉祥全,2014/8/12,01A03,訴乙案，該案經台灣台北地方法院昨日宣判，謝漢金共同犯證券交易法第171,7 訴訟案件
2491 吉祥全,2014/8/12,01A04,條第一項第二款之使公司為不利益交易罪，處有期徒刑伍年；又共同犯證券交,7 訴訟案件
2491 吉祥全,2014/8/12,01A05,易法第171條第一項第一款之公告不實罪， 處有期徒參年陸月。,7 訴訟案件
3130 一零四,2014/8/12,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
3130 一零四,2014/8/12,01A01,1.竊104求職履歷 1111敗訴定讞,7 訴訟案件
3130 一零四,2014/8/12,01A02,"2.104人力銀行控告1111人力銀行竊取8萬筆求職者履歷，求償1,488萬元。不過",7 訴訟案件
3130 一零四,2014/8/12,01A03,因雙方和解等因素，法院只認定1111人力銀行必須對其中2萬270筆負責，因此,7 訴訟案件
3130 一零四,2014/8/12,01A04,高等法院更二審合議庭在2013/9/17判決，1111人力銀行必須賠付211萬元及利,7 訴訟案件
3130 一零四,2014/8/12,01A05,息。1111人力銀行不服提起上訴，最高法院民事庭昨天判決，駁回該上訴事件,7 訴訟案件
8150 南茂,2014/8/8,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
8150 南茂,2014/8/8,01A01,1.鄭世杰董事長違反證券交易法案第三審獲判無罪,7 訴訟案件
8150 南茂,2014/8/8,01A02,2.針對鄭世杰董事長前遭台北地方法院檢察署起訴非常規交易而違反證券交易法,7 訴訟案件
8150 南茂,2014/8/8,01A03,一案，經台灣高等法院於102/09/03二審宣判無罪，再經台灣高等法院檢察署,7 訴訟案件
8150 南茂,2014/8/8,01A04,就前開二審判決提起上訴一案，最高法院業於103/08/07以刑事判決，就前開,7 訴訟案件
8150 南茂,2014/8/8,01A05,臺灣高等法院檢察署之上訴判決駁回在案。,7 訴訟案件
1314 中石化,2014/8/6,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1314 中石化,2014/8/6,01A01,1.高雄災區石化管線 全面停用,9 環保與安全
1314 中石化,2014/8/6,01A02,2.高雄市長陳菊昨（5）日宣布，受災區石化管線全部停用。由於涉及中油一條,9 環保與安全
1314 中石化,2014/8/6,01A03,乙烯管線，以及中石化、榮化等二條丙烯管線，對三家業者未來原料調度都是,9 環保與安全
1314 中石化,2014/8/6,01A04,一大考驗，特別是中石化及榮化，工廠勢必減產。,9 環保與安全
1903 士紙,2014/8/5,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1903 士紙,2014/8/5,01A01,空氣污染檢測超標，經主管機關罰鍰累計達100萬元，罰鍰將依約向承攬商要求,9 環保與安全
1903 士紙,2014/8/5,01A02,賠償。不影響本公司永安廠之正常運作。,9 環保與安全
1314 中石化,2014/8/4,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1314 中石化,2014/8/4,01A01,1.有關報載高雄關閉市區管線七石化廠恐停產之說明,9 環保與安全
1314 中石化,2014/8/4,01A02,2.(1)本公司槽車接收能力充足，目前以增加槽車車次方式因應，生產原料足以,9 環保與安全
1314 中石化,2014/8/4,01A03,支應；但為避免其他無法預測因素，工廠已略調降產能因應，預計為期一週，,9 環保與安全
1314 中石化,2014/8/4,01A04,"粗估減少營業額約新台幣3,600萬元。(2)為了配合救災作業及考量大眾安全性",9 環保與安全
1314 中石化,2014/8/4,01A05,"，已進行管線內容物出清作業中，損失約新台幣1,100萬元。",9 環保與安全
1314 中石化,2014/8/4,02001,"＊發生其他負面事件,環保與安全",9 環保與安全
1314 中石化,2014/8/4,02A01,1.高雄關閉市區管線 七石化廠恐停產,9 環保與安全
1314 中石化,2014/8/4,02A02,2.高雄市政府昨（1）日下令，行經市區的石化管線全面關閉，造成華運倉儲及,9 環保與安全
1314 中石化,2014/8/4,02A03,中油共四條乙烯、丙烯及苯等原料管線停止輸送，李長榮、中石化、台聚、亞,9 環保與安全
1314 中石化,2014/8/4,02A04,聚、台氯、東聯、國喬等七家業者將因而缺料，恐有停產及減產危機。,9 環保與安全
1314 中石化,2014/8/4,02A05,3.據了解，這七家石化廠產品涵蓋聚丙烯、丙烯月青、苯乙烯、聚乙烯、乙二醇,9 環保與安全
1314 中石化,2014/8/4,02A06,等，若是全面停產，一天的營運損失起碼逾5億元，並將影響下游加工業供料.,9 環保與安全
1314 中石化,2014/8/1,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1314 中石化,2014/8/1,01A01,1.高雄連環氣爆,9 環保與安全
1314 中石化,2014/8/1,01A02,2.高雄市苓雅區和前鎮區昨晚發生嚴重瓦斯外洩，因一時找不到來源，消防人員,9 環保與安全
1314 中石化,2014/8/1,01A03,只能灑水防範；不料在深夜近十二時在三多路、英祥街口突然發生大爆炸，頓,9 環保與安全
1314 中石化,2014/8/1,01A04,時火光衝天，並造成三多路、一心路路面嚴重塌陷。,9 環保與安全
1314 中石化,2014/8/1,01A05,3.高市捷運局長陳存永調來輕軌工地下方的管線圖，發現當地有中油與中石化的,9 環保與安全
1314 中石化,2014/8/1,01A06,管線，經比對後，於昨晚十一時二十分確認應是中石化的管線肇禍，外洩氣體,9 環保與安全
1314 中石化,2014/8/1,01A07,有可能是有機氣體丁烷，不過截稿為止，因中石化無人到場，還無法確認。,9 環保與安全
2353 宏碁,2014/7/31,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2353 宏碁,2014/7/31,01A01,1.宏碁顯示器美零售居冠 另遭控侵權,7 訴訟案件
2353 宏碁,2014/7/31,01A02,2.根據外電報導，美國音效科技公司Andrea Electronics於28日在紐約東區美國,7 訴訟案件
2353 宏碁,2014/7/31,01A03,地方法院對宏碁、東芝和聯想提出侵權訴訟，控告這些公司侵犯4項噪音消除,7 訴訟案件
2353 宏碁,2014/7/31,01A04,的專利技術。對此，宏碁指出，公司法務尚未收到正式通知，對於專利內容也,7 訴訟案件
2353 宏碁,2014/7/31,01A05,正在了解當中，不予評論。,7 訴訟案件
2506 太設,2014/7/31,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2506 太設,2014/7/31,01A01,1.太設告SOGO股東會無效 敗訴,7 訴訟案件
2506 太設,2014/7/31,01A02,2.太平洋建設、台灣崇廣及章民強等向法院起訴，請求確認太平洋崇光百貨（,7 訴訟案件
2506 太設,2014/7/31,01A03,SOGO）在100年8月間，由監察人王景益所召集的股東臨時會決議不成立或無效,7 訴訟案件
2506 太設,2014/7/31,01A04,的民事官司，法院昨天宣判，駁回太設等所提訴訟。本件仍可上訴。,7 訴訟案件
1449 佳和,2014/7/25,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
1449 佳和,2014/7/25,01A01,1.本公司負責人訴訟案重金上更(一)字第32號判決說明,7 訴訟案件
1449 佳和,2014/7/25,01A02,2.本公司董事長翁茂鍾先生前因涉違反證券交易法案件，經台灣高等法院台中分,7 訴訟案件
1449 佳和,2014/7/25,01A03,院釐清案情，確與違反證券交易法無涉，改判違反商業會計法，處有期徒刑四,7 訴訟案件
1449 佳和,2014/7/25,01A04,個月，得易科罰金。,7 訴訟案件
2324 仁寶,2014/7/25,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2324 仁寶,2014/7/25,01A01,1.及成企業股份有限公司及其子公司對本公司及本公司之子公司提起仲裁案,7 訴訟案件
2324 仁寶,2014/7/25,01A02,2.聲請人以相對人積欠爭議貨款美金91萬元為由，依雙方簽署之採購合同對相對,7 訴訟案件
2324 仁寶,2014/7/25,01A03,人提付中華民國仲裁協會仲裁。,7 訴訟案件
4934 太極,2014/7/25,01001,"＊發生其他負面事件,其他",U 其他
4934 太極,2014/7/25,01A01,1.美出狠招 課我太陽能廠重稅,U 其他
4934 太極,2014/7/25,01A02,2.美國對台灣、中國大陸太陽能反傾銷調查初判結果於昨（26）日台北凌晨時間,U 其他
4934 太極,2014/7/25,01A03,出爐，台廠被課徵反傾銷稅率介於27.59%至44.18%，高於原預期的20%以下，,U 其他
4934 太極,2014/7/25,01A04,讓業界傻眼，大陸廠家稅率26.33%至165.04%，主要陸廠稅率與台廠差距小。,U 其他
4934 太極,2014/7/25,01A05,3.台灣反傾銷調查的應訴代表業者為茂迪與昱晶，初判遭美國商務部認定傾銷，,U 其他
4934 太極,2014/7/25,01A06,課徵最低稅率是昱晶的27.59%，最高為茂迪的44.18%，其他業者如新日光、昇,U 其他
4934 太極,2014/7/25,01A07,陽科等，適用稅率為前兩者的平均值35.89%。,U 其他
2206 三陽工業,2014/7/17,01001,"＊發生其他負面事件,其他",U 其他
2206 三陽工業,2014/7/17,01A01,1.張宏嘉掌三陽 風波未落幕,U 其他
2206 三陽工業,2014/7/17,01A02,2.三陽原定昨日下午4點30分召開董事會、改選董事長。雖原董事會召集人陳榮,U 其他
2206 三陽工業,2014/7/17,01A03,達在董事會召開前半小時，即下午4點，宣布撤銷董事會，但三陽董事張宏嘉,U 其他
2206 三陽工業,2014/7/17,01A04,等人仍以超過二分之一董事、半數以上同意為由，最後推選張宏嘉為董事長、,U 其他
2206 三陽工業,2014/7/17,01A05,吳清源為副董事長、常務董事則為黃裕昌。後續三陽將呈報主管單位，由經濟,U 其他
2206 三陽工業,2014/7/17,01A06,部依法裁定，該董事會是否具效力。,U 其他
2438 翔耀,2014/7/14,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2438 翔耀,2014/7/14,01A01,"1.Sumitomo Mitsui Finance and Leasing Company, Limited向本公司提起民事",7 訴訟案件
2438 翔耀,2014/7/14,01A02,訴訟案之一審判決說明,7 訴訟案件
2438 翔耀,2014/7/14,01A03,2.子公司Mario King(簡稱MK公司，本公司已於民國101年12月出售全部持股)向,7 訴訟案件
2438 翔耀,2014/7/14,01A04,Kuan's公司購置設備，同時由Kuan's公司介紹日本三井住友租賃公司承做設備,7 訴訟案件
2438 翔耀,2014/7/14,01A05,融資租賃款計日幣4.05億元。因MK公司借款當時負責人與本公司當時負責人為,7 訴訟案件
2438 翔耀,2014/7/14,01A06,同一人，致日本三井住友租賃公司認為本公司負有連帶保證之責任，故向本公,7 訴訟案件
2438 翔耀,2014/7/14,01A07,司提起訴訟求償，惟本公司並未替MK公司背書保證。經第一審法院判決，被告,7 訴訟案件
2438 翔耀,2014/7/14,01A08,應連帶給付原告日幣4.05億元及其利息及違約金。訴訟費用由被告連帶負擔。,7 訴訟案件
2337 旺宏,2014/7/10,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2337 旺宏,2014/7/10,01A01,旺宏電子繼在美提告後，再於德國控告Spansion及其客戶侵害旺宏專利，並訴請,7 訴訟案件
2337 旺宏,2014/7/10,01A02,賠償及禁止該等侵權產品進口德國或在德銷售,7 訴訟案件
2337 旺宏,2014/7/2,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2337 旺宏,2014/7/2,01A01,1.旺宏 再控飛索（Spansion）侵權,7 訴訟案件
2337 旺宏,2014/7/2,01A02,2.旺宏昨（2）日表示，6月27日已再次於美國國際貿易委員會（ITC）對飛索及,7 訴訟案件
2337 旺宏,2014/7/2,01A03,其關係企業與客戶提出侵權告訴。旺宏這次是控告飛索與其客戶等侵害旺宏四,7 訴訟案件
2337 旺宏,2014/7/2,01A04,項專利，請求ITC依法頒發禁制令，禁止相關侵權產品進口美國或在美銷售。,7 訴訟案件
1724 台硝,2014/7/2,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
1724 台硝,2014/7/2,01A01,102年4月間桃園地檢署調查本公司之子公司耕宇於民國90年至93年間有無違反商,7 訴訟案件
1724 台硝,2014/7/2,01A02,業會計法等，偵查終結獲臺灣桃園地方法院檢察署檢察官作成不起訴處分。,7 訴訟案件
1904 正隆,2014/7/1,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1904 正隆,2014/7/1,01A01,本公司於102/01/11-103/07/01因違反水污染防治法、空氣污染防制法及廢棄物,9 環保與安全
1904 正隆,2014/7/1,01A02,"清理法，罰鍰金額累計達新台幣1,118,000元。",9 環保與安全
2491 吉祥全,2014/6/30,01001,"＊發生重大財務事件,景氣不佳停工",T 景氣不佳停工
2491 吉祥全,2014/6/30,01A01,1.考量相關營運成本，經由董事會決議減少子公司浩瀚部份光碟產品之生產及銷,T 景氣不佳停工
2491 吉祥全,2014/6/30,01A02,售，並授權董事長全權處理相關事宜。,T 景氣不佳停工
2491 吉祥全,2014/6/30,01A03,2.全部或部分停工項目之產能、產量及所佔公司營收比例:佔合併營收比例(%)：,T 景氣不佳停工
2491 吉祥全,2014/6/30,01A04,19.83%,T 景氣不佳停工
1762 中化生,2014/6/30,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
1762 中化生,2014/6/30,01A01,1.媒體（蘋果電子報、中時電子報）報導北檢以本公司董事長王勳聖與前財務部,7 訴訟案件
1762 中化生,2014/6/30,01A02,經理林朝郎違反證券交易法等罪嫌提起公訴。,7 訴訟案件
1762 中化生,2014/6/30,01A03,2.當事人表示並未有任何違反證券交易法等罪嫌，且媒體報導所述與事實不符，,7 訴訟案件
1762 中化生,2014/6/30,01A04,已委請律師進行處理，並將依司法程序捍衛自身清白。,7 訴訟案件
1701 中化,2014/6/30,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
1701 中化,2014/6/30,01A01,1.媒體（蘋果電子報、中時電子報）報導北檢以本公司董事長王勳聖與前財務部,7 訴訟案件
1701 中化,2014/6/30,01A02,經理林朝郎違反證券交易法等罪嫌提起公訴。,7 訴訟案件
1701 中化,2014/6/30,01A03,2.當事人表示並未有任何違反證券交易法等罪嫌，且媒體報導所述與事實不符，,7 訴訟案件
1701 中化,2014/6/30,01A04,已委請律師進行處理，並將依司法程序捍衛自身清白。,7 訴訟案件
4141 龍燈-KY,2014/6/24,01001,"＊發生其他負面事件,其他",U 其他
4141 龍燈-KY,2014/6/24,01A01,因巴西政府對進口貨稅的稅例採用新的解釋，所以子公司 Rotam do Brazil,U 其他
4141 龍燈-KY,2014/6/24,01A02,Agroquimica Productos Agricolas Ltda 收到當地有關當局Ministerio Da,U 其他
4141 龍燈-KY,2014/6/24,01A03,Fazenda 的通知，要求子公司補繳從102年度至今進口貨物的稅款差額，一共巴,U 其他
4141 龍燈-KY,2014/6/24,01A04,西貨幣37萬(約新臺幣510萬)。,U 其他
2049 上銀,2014/6/20,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2049 上銀,2014/6/20,01A01,1.上銀對天津羅昇第二次假扣押,7 訴訟案件
2049 上銀,2014/6/20,01A02,2.天津羅昇公司經上銀公司請求執行第二次財產保全金額人民幣1292萬元。,7 訴訟案件
2049 上銀,2014/6/19,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2049 上銀,2014/6/19,01A01,1.上銀對天津羅昇第二次假扣押,7 訴訟案件
2049 上銀,2014/6/19,01A02,2.上銀在2013/11/7對天津羅昇提起積欠貨款的債權請求民事訴訟與財產保全案,7 訴訟案件
2049 上銀,2014/6/19,01A03,，2014/1/7追加請求逾期付款損失，合計請求總金額超過913萬美元。2014/6/,7 訴訟案件
2049 上銀,2014/6/19,01A04,11經天津市高院准許，在18日執行第二次財產保全，已完成公司總請求金額對,7 訴訟案件
2049 上銀,2014/6/19,01A05,天津羅昇財產的全額假扣押。,7 訴訟案件
1457 宜進,2014/6/18,01001,"＊發生重大財務事件,景氣不佳停工",T 景氣不佳停工
1457 宜進,2014/6/18,01A01,1.本公司彰化廠擬部份停止生產並將部份廠房及機器設備出租之相關事宜,T 景氣不佳停工
1457 宜進,2014/6/18,01A02,2.本公司為追求穩定的獲利並將生產重心移往台南廠，擬自103//7/1起將彰化廠,T 景氣不佳停工
1457 宜進,2014/6/18,01A03,部份廠房及機器設備出租予宜新實業股份有限公司，每月租金420萬元。,T 景氣不佳停工
1457 宜進,2014/6/18,01A04,"3.彰化廠部份停工項目每年原有產量約為19,200噸（每月1,600噸），惟出租後",T 景氣不佳停工
1457 宜進,2014/6/18,01A05,"部份產量擬由宜新公司代工，預計每月減少之營業額約6,000萬元（每年約7.2",T 景氣不佳停工
1457 宜進,2014/6/18,01A06,億元），對財務業務無重大影響。,T 景氣不佳停工
2547 日勝生,2014/6/18,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2547 日勝生,2014/6/18,01A01,為確保本公司之合法權益，並保障全體股東利益，本公司針對美河市案業已依與,7 訴訟案件
2547 日勝生,2014/6/18,01A02,臺北市政府捷運局之協議書約定，於今日正式向中華民國仲裁協會提出仲裁聲請,7 訴訟案件
2633 台灣高鐵,2014/6/17,01001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2633 台灣高鐵,2014/6/17,01A01,1.元大寶來證券請求本公司給付甲種特別股股息訴訟案判決結果,7 訴訟案件
2633 台灣高鐵,2014/6/17,01A02,2.本件經臺灣士林地方法院民事庭審理後，於今日宣判，其判決主文為：原告之,7 訴訟案件
2633 台灣高鐵,2014/6/17,01A03,訴及假執行之聲請均駁回；訴訟費用由原告負擔。,7 訴訟案件
2633 台灣高鐵,2014/6/17,02001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2633 台灣高鐵,2014/6/17,02A01,1.欣陸國際請求本公司給付丙八種特別股股本訴訟案判決結果,7 訴訟案件
2633 台灣高鐵,2014/6/17,02A02,2.本件經臺灣士林地方法院民事庭審理後，於今日宣判，其宣判主要結果為本公,7 訴訟案件
2633 台灣高鐵,2014/6/17,02A03,司應給付原告499萬元及加計之利息。,7 訴訟案件
2633 台灣高鐵,2014/6/17,03001,"＊發生其他負面事件,訴訟案件",7 訴訟案件
2633 台灣高鐵,2014/6/17,03A01,1.大陸建設及大陸工程請求本公司給付97年度甲種特別股股息訴訟案判決結果,7 訴訟案件
2633 台灣高鐵,2014/6/17,03A02,2.本件經臺灣士林地方法院民事庭審理後，於今日宣判，其判決主文為：原告之,7 訴訟案件
2633 台灣高鐵,2014/6/17,03A03,訴及假執行之聲請均駁回；訴訟費用由原告負擔。,7 訴訟案件
2206 三陽工業,2014/6/17,01001,"＊發生其他負面事件,其他",U 其他
2206 三陽工業,2014/6/17,01A01,2014/06/17股票全額交割,U 其他
1314 中石化,2014/6/17,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
1314 中石化,2014/6/17,01A01,台南市環保局以本公司安順廠場址至103年5月20日止，污染面積減量未達原污染,9 環保與安全
1314 中石化,2014/6/17,01A02,整治計畫書承諾目標為由，依違反土壤及地下水污染整治法規定裁處罰鍰新台幣,9 環保與安全
1314 中石化,2014/6/17,01A03,100萬元整。,9 環保與安全
2206 三陽工業,2014/6/16,01001,"＊發生其他負面事件,環保與安全",9 環保與安全
2206 三陽工業,2014/6/16,01A01,1.三陽股東會召開場地不符規定 影響股東權益 打入全額交割股,9 環保與安全
2206 三陽工業,2014/6/16,01A02,2.證交所表示，三陽(2206-TW)今年股東會開會場所，在今年5月27日及29日先後,9 環保與安全
2206 三陽工業,2014/6/16,01A03,經台北市政府都市發展局及消防局函示違反建築法規及不符合安全檢查規定，,9 環保與安全
