公司,年月,TCRI,總分,規模,獲利,安全,效率,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收
1236 宏亞,2013/12/31,6,515,20,50,85,69,5.05,,0.3,6.19,7.24,1.32,-7,-12,34,27
3605 宏致,2013/12/31,4,498,42,30,97,33,5.35,,0.48,3.09,7.48,1.79,8,3,29,40
1612 宏泰,2013/12/31,4,417,40,-4,100,50,2.67,,0.05,-1.79,-3.1,2.1,16,5,2,43
1452 宏益,2013/12/31,5,465,15,19,100,77,1.73,,0.02,3.54,3.84,2.22,0,4,0,22
2534 宏盛,2013/12/31,6,-93,10,-10,-14,-40,-13.68,+,27.77,-1.29,-38.88,1.99,-9,-8889,126,8
2536 宏普,2013/12/31,5,361,57,69,27,-40,-22.01,+,4.11,4.82,31.58,1.74,14,411,109,40
2498 宏達電,2013/12/31,3,612,140,-5,91,73,-160.76,+,0,-1.96,-1.75,0.34,-7,10,0,2034
6168 宏齊,2013/12/31,6,406,39,-7,99,50,5.12,,0.31,0.26,-10.37,1.64,-12,-22,32,47
2527 宏璟,2013/12/31,7,160,36,44,-2,-40,-26.74,+,7.22,3.23,13.67,2.06,0,-192,143,24
2484 希華,2013/12/31,6,444,24,26,98,26,5.3,,0.65,3.12,6.4,2.1,-2,-16,25,25
2358 廷鑫,2013/12/31,7,316,6,-24,100,77,-0.8,,0.11,-12.82,-5.58,2.1,-43,3,11,16
2376 技嘉,2013/12/31,4,769,140,42,98,69,17.45,,0.05,7.09,3.53,1.12,4,0,12,511
2025 千興,2012/12/28,8,232,20,-36,72,84,0.21,,0.69,-14.55,-17.72,2.24,2,33,46,27
1453 大將,2012/12/28,7,512,5,81,100,-40,3.24,,0.29,11.14,16.58,2.38,-85,-335,1,7
3701 大眾控,2012/12/28,9,331,89,-14,46,59,2.03,,1.05,-3.78,-4.93,2.48,6,2,130,137
1611 中電,2012/12/28,5,554,64,48,78,48,-2.23,+,0.59,5.36,9.78,2.06,18,7,45,71
9917 中保,2012/12/28,3,852,90,94,100,89,40.38,,0.18,11.92,18.77,2.17,0,-1,12,121
2474 可成,2012/12/28,3,866,140,96,95,13,113.62,+,0.86,11.72,32.7,1.13,25,-1,52,370
2103 台橡,2012/12/28,4,795,140,65,82,74,59.19,,0.5,9.13,8.23,1.8,12,16,68,454
1301 台塑,2012/12/28,3,743,140,27,98,87,242.36,,0.71,4.16,4.04,1.64,1,4,44,1969
6464 台數科,2012/12/28,-,667,47,112,47,98,8.83,,3.31,16.63,33.92,6.28,,,110,36
2611 志信,2012/12/28,8,722,34,120,82,39,22.35,,1.26,19.67,28.47,3.4,-37,-283,39,38
1201 味全,2012/12/28,4,412,140,24,33,-40,14.64,,1.13,2.33,4.97,2.19,3,-8,141,286
2020 美亞,2012/12/28,7,403,50,13,68,59,7.1,,0.89,2.96,1.26,2.06,-10,9,60,57
2504 國產,2012/12/28,4,601,140,1,86,61,30.53,,0.62,0.79,0.99,1.44,2,2,50,262
9919 康那香,2012/12/28,5,377,47,2,75,52,5.25,,1.38,1.21,1.53,2.35,3,16,76,48
3027 盛達,2012/12/28,6,344,10,-4,100,38,-1.04,,0.19,-1.73,-2.64,1.96,-19,24,5,13
1216 統一,2012/12/28,3,714,140,46,69,89,390.46,,0.5,5.74,4.79,1.83,-1,-1,84,4275
3041 揚智,2012/12/28,4,727,49,87,100,69,11.05,,0,11.83,18.33,0,-5,13,0,51
1707 葡萄王,2012/12/28,4,761,34,120,100,34,11.21,,0.04,22.96,21.03,2.56,-2,-12,1,46
2062 橋椿,2012/12/28,4,600,46,50,100,58,5.16,,0.38,5.71,10.29,1.9,14,2,24,54
4141 龍燈-KY,2012/12/28,7,462,69,61,61,-40,-7.61,+,2.26,6.98,10.68,4.98,4,17,92,77
1310 台苯,2012/12/28,8,443,94,-13,67,92,2.28,,0.49,-4.7,-3.57,2.22,-4,-5,80,187
1902 台紙,2012/12/28,5,419,62,-5,92,34,-0.5,,0.52,-1.08,-4.2,1.5,5,4,37,60
4956 光鋐,2012/12/28,7,403,14,31,100,-17,1.35,,0.66,3.35,8.02,1.67,32,-13,28,14
2337 旺宏,2012/12/28,5,533,138,-22,97,31,20.06,,1.39,-7.96,-17.35,1.61,9,6,60,242
2028 威致,2012/12/28,8,309,63,-7,38,90,4.59,,0.82,-1.78,-0.27,2.98,1,-3,120,100
2448 晶電,2012/12/28,4,532,131,-3,100,-21,23.17,,1.83,-1.85,0.22,2.59,20,8,26,199
1529 樂士,2012/12/28,9,16,1,-57,75,-40,-0.43,,5.78,-24.52,-53.47,3.53,282,-389,26,1
2633 台灣高鐵,2012/12/28,9,-448,140,65,-302,48,162,,25.79,2.57,35.59,2.29,1,0,1172,340
1413 宏洲,2012/12/28,7,202,31,-23,54,48,-1.31,,0.51,-7.27,-5.31,1.97,6,16,92,40
6165 捷泰,2012/12/28,8,260,6,-39,100,65,-1.78,,0.09,-17.13,-13.88,3.48,-27,-25,8,11
2915 潤泰全,2012/12/28,6,544,82,40,68,58,11.96,,3.39,10.02,-9.67,1.81,0,-12,39,68
3593 力銘,2012/12/28,6,343,13,-21,100,82,0.8,,0.2,-8.88,-14.88,1.26,-17,-9,21,15
2491 吉祥全,2012/12/28,D,-177,12,-40,-13,-40,-2.36,,5.99,-10.55,-44.47,2.72,18,46,176,9
1449 佳和,2012/12/28,D,-340,32,-52,-101,57,0.89,,2.32,-3.53,-5.81,3.7,5,-6,350,40
1457 宜進,2012/12/28,7,327,50,-3,54,74,0.17,,1.85,-0.41,-2.06,2.37,11,13,97,47
2388 威盛,2012/12/28,8,249,53,-60,90,55,-34,,0.96,-30.18,-77.65,3.43,-2,-19,31,45
1218 泰山,2012/12/28,6,376,70,-6,61,71,-4.72,,0.65,-1.62,-3.06,1.93,0,5,103,106
2438 翔耀,2012/12/28,D,4,1,-60,74,-40,-0.74,,1.24,-18.17,-347.02,2.61,441,63,0,0
8464 億豐,2012/12/28,-,-888,73,-60,-888,47,21.66,,1.59,14.16,17.05,2.93,,,-736,106
1472 三洋紡,2012/12/28,9,-35,6,-45,14,48,-0.94,,2.33,-11.23,-4.36,3.09,18,33,160,9
2353 宏碁,2012/12/28,4,619,140,0,88,75,5.91,,0.19,0.21,0.84,4.06,-13,5,24,4295
3049 和鑫,2012/12/28,8,-353,70,-47,-136,57,0.9,,7.2,-8.4,-22.75,2.39,-13,11,360,54
2008 高興昌,2012/12/28,8,-941,34,-60,-306,90,-0.69,,10.19,-8.75,-10.46,3.97,4,13,2658,22
2540 愛山林,2012/12/28,D,-952,1,-54,-297,100,-0.13,,73.18,-6.49,-411.6,2.07,-8,-56,504,0
1903 士紙,2012/12/28,7,347,32,-10,76,86,-0.6,,0.57,-2.21,-8.42,1.06,2,-1,30,21
1432 大魯閣,2012/12/28,8,231,8,-15,100,-40,0.83,,0.77,-4.87,-10.74,1.78,2,72,10,9
1516 川飛,2012/12/28,9,391,1,-3,100,100,0.35,,0.25,-1.75,-1.66,2.92,-79,-1,0,2
1456 怡華,2012/12/28,D,-863,14,-60,-263,79,-0.2,,2.95,-9.63,-7.99,3.5,-10,-20,840,18
2348 海悅,2012/12/28,9,168,0,-60,100,48,-0.28,,1.35,-75.93,-18.62,5.44,80,0,0,1
6176 瑞儀,2012/12/28,3,899,140,84,98,73,51.53,+,0.42,12,8.52,2.34,6,1,35,762
2616 山隆,2012/12/28,5,596,77,34,92,46,5.42,,0.01,5.71,1.2,0.83,-1,0,12,189
2506 太設,2012/12/28,D,396,78,1,48,94,-1.77,,2.78,1.38,-0.07,3.31,-1,-60,91,74
9906 欣巴巴,2012/12/28,8,215,1,-7,92,-40,0.2,,1.83,-0.18,-51.57,0.66,2197,4219,79,1
3321 同泰,2012/12/28,-,88,17,56,-42,13,1.68,,1.85,5.86,3.86,3.67,7,-2,278,24
1786 科妍,2012/12/28,6,552,2,96,100,-40,0.52,,0,13.85,26.21,0,12,41,0,2
3673 TPK-KY,2012/12/28,3,878,140,99,75,77,159.12,+,0.45,13.36,11.73,2.6,12,10,81,1737
3004 豐達科,2012/12/28,6,455,10,102,38,14,1.57,,1.52,10.08,20.01,2.19,,,141,13
2511 太子,2012/12/28,6,568,120,56,31,66,84.62,,4.23,4.38,12.7,2.47,16,-117,133,147
9911 櫻花,2012/12/28,4,552,38,39,98,66,2.93,,0.17,4.83,6.91,1.83,8,-3,10,41
3682 亞太電,2012/12/28,3,879,140,69,100,93,77.66,,0.1,8.28,15.15,1.48,1,1,4,257
1414 東和,2012/12/28,6,391,21,4,100,37,1.39,,0.21,2.03,-0.52,1.39,-19,-19,8,14
2408 南亞科,2012/12/28,9,-686,140,-60,-276,43,-174.63,,4.88,-31.61,-75.12,1.83,-17,24,3933,339
8150 南茂,2012/12/28,5,735,122,43,99,67,49.49,,1.32,4.1,10.17,2.66,5,4,58,192
2528 皇普,2012/12/28,9,-42,0,1,-2,-40,-3.84,,6725.28,2.5,-7928.41,3.75,230,88889,100,0
1583 程泰,2012/12/28,6,495,59,65,74,-40,5.78,,0.65,6.7,12.45,1.41,-1,27,68,67
2344 華邦電,2012/12/28,6,541,140,-6,79,40,63.79,,1.26,-2.35,-2.29,2.6,4,14,41,330
1532 勤美,2012/12/28,7,511,121,42,61,-40,1.61,+,1.86,4.26,7.97,2.2,5,-34,88,162
4919 新唐,2012/12/28,5,707,48,84,100,59,7.4,,0.01,13.19,10.55,0.8,1,5,0,74
4532 瑞智,2012/12/28,4,694,98,60,86,60,24.91,,0.55,7.27,8.5,2.17,23,-4,48,153
2331 精英,2012/12/28,5,653,140,2,95,81,14.58,,0.07,1.18,0.94,1.35,4,5,22,670
1805 寶徠,2012/12/28,8,80,17,29,-37,72,-8.2,+,2.19,2.24,3.26,2.61,5,405,229,14
3018 同開,2012/12/28,7,394,6,4,100,69,-0.73,,0.16,1.45,1.6,1.51,4,-2,31,11
3037 欣興,2012/12/28,3,730,140,42,87,65,134.31,,0.73,4.14,8.34,1.56,4,-1,66,675
2316 楠梓電,2012/12/28,5,529,66,23,94,48,3.27,,0.61,4.07,1.01,1.86,10,2,45,70
2606 裕民,2012/12/28,4,590,89,31,86,35,26.12,,3.5,3.71,6.06,1.46,14,0,81,76
1477 聚陽,2012/12/28,3,798,83,91,99,62,22.85,,0.12,15.39,9.41,2.78,6,1,15,159
2429 銘旺科,2012/12/28,9,242,4,-14,89,8,-0.42,,0.68,-4.06,-2.84,3.57,-13,-11,35,8
5469 瀚宇博,2012/12/28,4,497,140,5,46,63,31.41,,1.03,1.74,-0.16,2.13,-5,1,150,559
2486 一詮,2012/12/28,6,369,59,4,79,-1,1.56,,1.14,1.32,2.66,3.05,-6,-17,65,66
3130 一零四,2012/12/28,5,620,13,66,100,95,2.68,,0.01,9.73,9.24,3.38,1,0,1,21
1515 力山,2012/12/28,6,359,33,14,69,46,0.7,,1.43,2.34,3.23,2.92,-9,-16,82,33
6239 力成,2012/12/28,4,862,140,69,100,75,188.85,,0.76,6.37,17.07,1.41,-26,3,45,416
1447 力鵬,2012/12/28,5,552,115,3,79,76,5.44,,0.27,1.65,-0.22,1.43,-7,10,44,258
1307 三芳,2012/12/28,4,667,77,55,97,58,16.81,,0.35,6.5,9.38,1.47,-1,7,41,105
1721 三晃,2012/12/28,8,255,10,-3,71,30,0.16,,1.01,-0.76,-0.55,2.54,5,16,72,16
2905 三商,2012/12/28,5,621,140,-19,100,99,722.24,,0.07,-0.73,-3.49,1.01,-3,-1,40,1412
9946 三發地產,2012/12/28,8,403,43,94,18,-17,-12.86,+,4.03,7.86,25.09,2.27,29,-312,141,28
2206 三陽工業,2012/12/28,5,580,140,7,75,53,9.97,,0.98,2.17,0.52,2.74,2,15,71,344
6128 上福,2012/12/28,5,526,12,79,82,19,2.13,,0.15,9,18.34,1.27,2,17,17,14
2049 上銀,2012/12/28,4,610,103,92,56,-40,-2.55,+,1.09,8.9,25.22,1.42,57,63,110,124
1316 上曜,2012/12/28,8,184,12,-13,74,-24,0.3,,1.54,-5.13,-4.54,2.84,-12,-22,73,15
1503 士電,2012/12/28,4,633,124,28,89,34,13.16,,0.19,3.56,5.61,1.07,5,5,16,198
2739 寒舍,2012/12/28,-,539,31,64,78,46,6.1,,0.8,7.99,7.33,2.48,,,78,40
3008 大立光,2012/12/28,3,920,125,118,100,17,57.42,+,0,19.76,36.04,0.03,15,15,0,201
2371 大同,2012/12/28,7,318,140,-27,23,52,45.89,,2.81,-5.88,-14.29,3.2,7,18,153,1074
2027 大成鋼,2012/12/28,7,326,140,15,14,-40,-2.49,+,1.53,2.48,4.39,2.99,2,26,171,400
1210 大成,2012/12/28,4,666,140,24,75,88,13.46,,0.24,4.2,1.32,2.32,1,3,61,875
1321 大洋,2012/12/28,6,433,56,-4,84,82,-0.02,,0.3,-1.36,-2.03,1.44,5,-7,25,55
1232 大統益,2012/12/28,4,706,75,63,93,88,0.26,+,0.03,13.14,3.31,1.71,-1,6,20,190
3167 大量,2012/12/28,5,447,17,59,92,-40,-0.55,,0.54,6.43,8.7,2.17,33,36,63,23
1521 大億,2012/12/28,4,606,28,63,98,68,3.94,,0.02,9.75,6.32,0,4,-1,0,42
3702 大聯大,2012/12/28,4,638,140,32,64,69,1.46,+,0.21,4.51,1.67,1.88,-2,-1,111,3606
8473 山林水,2012/12/28,-,309,10,25,85,-40,0.12,,0.15,1.49,9.62,0.06,,,94,8
2059 川湖,2012/12/28,4,756,39,113,100,39,10.11,,0.59,17.59,35.95,2.37,-2,-13,21,36
5521 工信,2012/12/28,5,325,50,8,80,-40,1.17,,0.97,1.63,2.94,2.04,-11,42,58,40
1762 中化生,2012/12/28,6,456,14,68,77,-7,2.64,,0.74,6.77,16.3,1.4,-1,12,48,13
1535 中宇,2012/12/28,4,727,64,71,100,86,5.67,,0.14,11.45,5.23,2.95,7,-2,18,111
1718 中纖,2012/12/28,7,671,140,29,76,77,46.3,,0.8,0.52,7.86,1.02,7,4,69,295
1701 中化,2012/12/28,6,415,57,29,83,-32,3.65,,0.74,3.32,5.39,1.28,13,16,60,49
1314 中石化,2012/12/28,5,668,140,-1,100,92,-1.69,,0.14,-1.05,0.09,1.28,4,2,6,384
2104 國際中橡,2012/12/28,4,747,130,58,84,60,21.67,,1.63,6.44,12.13,3.94,-1,8,49,233
1560 中砂,2012/12/28,4,666,34,84,100,48,10,,0.03,11.22,16.8,1.9,3,6,0,39
2612 中航,2012/12/28,5,513,53,55,63,47,9.83,,5.66,3.26,21.72,1.96,-1,0,117,37
2613 中櫃,2012/12/28,7,383,31,6,86,34,1.27,,1.1,1.25,3.08,1.98,6,0,54,25
2002 中鋼,2012/12/28,3,532,140,6,57,64,630.48,,0.99,1.22,3.11,1.39,3,5,84,3585
2013 中鋼構,2012/12/28,5,569,100,32,72,59,25.4,,0.27,4.38,1.88,1.37,7,2,61,200
2515 中工,2012/12/28,6,436,118,0,80,-40,-24.23,+,1.04,-0.14,0.67,1.69,9,29,43,138
2204 中華,2012/12/28,4,728,140,25,100,73,14.79,,0.09,4.58,3.12,2.49,3,19,3,418
2475 華映,2012/12/28,8,219,140,-49,-1,88,30.5,,3.29,-10.74,-24.41,3.92,-5,2,183,483
1905 華紙,2012/12/28,4,487,99,-3,92,21,11.51,,0.27,-1.18,-2.31,1.06,2,14,20,111
2610 華航,2012/12/28,6,348,140,1,2,48,97.05,,1.61,0.77,0.67,2.04,-6,0,195,1435
2412 中華電,2012/12/28,1,916,140,82,100,89,674.88,,0.01,9.68,22.27,1.17,8,0,1,2201
2450 神腦,2012/12/28,4,872,120,81,99,91,16.21,,0,14.98,4.65,0,-1,0,0,350
9933 中鼎,2012/12/28,2,776,140,50,97,56,-8.61,+,0.16,5.38,5.19,1.74,-3,5,33,607
5388 中磊,2012/12/28,5,679,99,63,72,78,24.14,,0.44,7.04,5.8,2.43,-18,-5,92,193
1513 中興電,2012/12/28,5,550,79,44,100,-40,11.22,,0.11,5.35,6.88,1.62,1,6,6,97
1723 中碳,2012/12/28,3,874,61,120,100,93,21.32,,0.03,26.07,25.96,2.42,1,5,1,83
2323 中環,2012/12/28,6,534,130,-2,78,49,41.61,,1.86,-1.32,0.4,3.05,15,12,34,194
2390 云辰,2012/12/28,7,195,12,-8,78,-40,-0.77,,1.38,-0.56,-11.47,2.11,0,1,27,9
3494 誠研,2012/12/28,7,237,21,-5,81,-32,-5.23,,0.74,-2.42,-1.21,1.78,8,20,43,22
1733 五鼎,2012/12/28,4,653,17,120,100,-40,5.1,,0.14,21.45,30.75,1.49,16,21,19,20
2324 仁寶,2012/12/28,3,670,140,17,91,65,-115.91,+,0.06,2.58,1.63,1.94,-2,2,32,6829
6209 今國光,2012/12/28,5,614,53,47,98,73,10.05,,0.24,6.68,6.48,1.8,-10,0,23,68
2034 允強,2012/12/28,4,597,104,14,94,66,16.98,,0.18,3.05,1.03,1.21,8,5,52,243
6443 元晶,2012/12/28,-,99,33,-32,15,84,-0.47,,3.39,-8.42,-17.35,2.21,,,152,24
4938 和碩,2012/12/28,4,680,140,25,85,72,252.39,,0.12,3.25,2.3,1.79,8,0,44,8819
2705 六福,2012/12/28,7,266,42,-2,61,-40,5.52,,3.08,-0.38,-1.16,2.52,3,16,69,28
2444 兆勁,2012/12/28,8,369,12,9,87,56,3.22,,0.5,0.48,4.86,2.61,-5,-11,30,20
6142 友勁,2012/12/28,6,427,78,9,61,61,0.94,,0.69,1.99,0.68,1.92,-2,-1,117,116
2332 友訊,2012/12/28,4,653,140,16,95,38,7.75,,0.08,2.88,2.45,3.48,1,3,9,325
2409 友達,2012/12/28,7,375,140,-33,40,75,357.13,,1.6,-7.9,-10.58,2.49,-1,1,137,3785
1233 天仁,2012/12/28,4,596,14,78,99,38,2.49,,0.02,11.76,12.64,1.93,4,1,3,20
6225 天瀚,2012/12/28,9,73,2,-60,71,36,-0.54,,1.2,-31.5,-57.75,5.39,1,9,28,4
4934 太極,2012/12/28,8,132,42,-60,51,77,-1.51,,2.2,-18.6,-12.44,3.55,15,-1,89,37
3036 文曄,2012/12/28,4,646,140,30,77,45,-11.74,+,0.14,4.24,2.1,1.24,11,-1,87,804
2451 創見,2012/12/28,3,849,129,81,100,48,27.77,+,0.01,12.74,13.05,3.76,3,36,1,262
2547 日勝生,2012/12/28,8,97,84,53,-63,-40,-53.8,+,16.2,2.19,22.34,3.01,7,2519,210,71
3090 日電貿,2012/12/28,5,514,17,52,100,26,4.07,,0.02,7.21,8.03,2.45,14,-8,0,23
1227 佳格,2012/12/28,3,844,102,96,100,53,19.89,,0.03,16.78,12.27,1.75,0,5,7,201
1732 毛寶,2012/12/28,6,330,4,0,100,23,-0.01,,0.01,-0.07,-0.28,0,1,10,0,7
2727 王品,2012/12/28,4,798,73,110,100,-40,20.66,,0,20.17,11.92,0,,,0,123
2383 台光電,2012/12/28,4,678,94,64,89,30,11.79,,0.33,9.11,6.57,2.22,7,2,40,160
8039 台虹,2012/12/28,5,597,65,56,100,-2,4.58,,0.65,6.7,10.3,1.97,19,-18,38,79
6269 台郡,2012/12/28,4,808,81,115,96,11,13.08,+,0.25,16.02,19.75,2.1,13,7,36,111
8011 台通,2012/12/28,5,562,14,68,100,30,0.58,,0.3,9.34,11.27,1.75,15,30,31,20
2314 台揚,2012/12/28,8,252,61,-44,70,50,-4.33,,0.85,-11.42,-12.38,2.03,-15,-13,78,76
1724 台硝,2012/12/28,5,585,17,65,98,63,5.65,,0.1,7.57,13.62,1.53,9,7,8,24
6505 台塑化,2012/12/28,3,599,140,2,75,89,250.05,,0.39,1.41,-0.04,1.67,-1,-7,111,8944
3532 台勝科,2012/12/28,5,481,95,4,76,52,22.62,,0.58,0.39,2.89,1.26,-4,-10,22,95
1309 台達化,2012/12/28,6,474,92,-2,73,76,0.66,,0.34,-0.37,-0.8,1.58,5,4,88,186
2308 台達電,2012/12/28,1,862,140,73,100,63,236.32,,0.23,9.56,10.21,1.13,4,4,22,1718
1220 台榮,2012/12/28,6,490,26,31,100,46,1.52,,0.13,4.83,3.9,2.18,2,9,9,37
4746 台耀,2012/12/28,7,228,25,2,55,7,1.71,,0.64,0.35,2.32,1.14,8,15,115,25
2636 台驊投控,2012/12/28,6,445,44,16,86,35,1.54,,0.24,2.94,1.23,2.45,1,0,66,86
1215 卜蜂,2012/12/28,4,534,91,20,71,78,4.52,,0.25,3.57,1.39,1.47,4,2,70,178
1614 三洋電,2012/12/28,4,567,55,30,100,66,3.65,,0.05,4.1,5.91,1,-3,-6,6,67
2841 台開,2012/12/28,9,-80,4,-6,-10,-40,10.03,,11.67,0.72,-28.56,0.5,327,-8889,136,4
3045 台灣大,2012/12/28,1,956,140,115,79,94,257.98,,0.35,17.13,18.57,2.25,-3,2,32,981
1326 台化,2012/12/28,3,640,140,6,88,79,291.29,,0.75,2.16,1.37,1.92,2,0,61,3916
1101 台泥,2012/12/28,3,714,140,46,73,78,197.81,,2.17,4.31,10.91,2.56,5,2,76,1195
2338 光罩,2012/12/28,5,494,26,32,100,47,5.5,,0.27,3.49,9.13,1.94,0,-2,6,21
2642 宅配通,2012/12/28,5,643,16,89,100,35,2.82,,0,14.55,9.47,0,2,0,0,26
2330 台積電,2012/12/28,1,1010,140,117,100,78,2890.64,,0.2,19.77,36.07,1.11,-2,2,16,5062
5608 四維航,2012/12/28,8,-5,57,23,-70,50,12.22,,5.71,2.2,5.6,1.21,0,0,271,40
9921 巨大,2012/12/28,3,745,140,66,76,38,22.1,+,0.25,8.55,7.39,1.38,-4,1,69,540
1539 巨庭,2012/12/28,8,139,10,-1,45,-12,-0.23,,1.07,-0.77,2.33,2.21,12,-5,114,15
6192 巨路,2012/12/28,4,682,51,86,100,24,8.6,,0.11,12.01,12.59,2.46,6,15,9,67
1475 本盟,2012/12/28,9,-472,3,-60,-121,65,-0.4,,8.22,-10.55,-22.8,4.64,-44,0,320,3
4906 正文,2012/12/28,5,743,119,44,96,84,31.07,,0.25,6.38,4.19,1.8,-10,-3,38,264
1538 正峰新,2012/12/28,8,180,10,-22,49,79,0.39,,3.73,-7.41,-28.71,3.17,2,6,68,8
2392 正崴,2012/12/28,4,649,140,27,72,72,43.04,,0.35,3.7,2.56,1.84,-5,-5,84,1029
1904 正隆,2012/12/28,4,593,140,31,59,44,32.28,,1.57,3.42,5.91,3.16,3,7,98,460
2105 正新,2012/12/28,3,809,140,95,57,73,268.62,,1.23,11.58,14.54,2.36,2,9,104,1303
1506 正道,2012/12/28,7,246,13,-7,78,9,0.92,,1.69,-2.13,-3.89,3.89,5,-15,31,16
3149 正達,2012/12/28,5,589,88,48,86,12,-2.43,+,1.06,4.19,12.29,2.36,8,33,61,94
1507 永大,2012/12/28,4,728,112,63,100,15,22.86,,0.04,7.62,10.7,10.11,5,-6,0,188
3705 永信,2012/12/28,4,516,48,53,100,-40,7.99,,0.36,6.33,10.68,2.62,6,-12,14,47
1726 永記,2012/12/28,3,639,63,68,100,10,7.62,,0,9.67,11.99,0.75,2,8,0,81
1323 永裕,2012/12/28,5,545,24,67,80,57,5.37,,1.16,7.83,10.98,2.87,2,-1,78,31
1907 永豐餘,2012/12/28,4,592,140,17,69,54,40.09,,1.11,2.37,4.35,1.9,5,9,86,540
3406 玉晶光,2012/12/28,4,640,86,65,75,48,19.37,,0.78,6.95,13.23,3.44,3,-1,49,114
3026 禾伸堂,2012/12/28,4,627,91,29,100,57,13.32,,0.17,4.36,4.43,0.98,-1,-2,26,146
2472 立隆電,2012/12/28,5,475,50,35,81,25,5.51,,0.82,3.73,8.16,2.26,17,5,57,57
3054 立萬利,2012/12/28,6,353,16,-9,90,77,-1.04,,0.08,-4.05,-2.23,1.22,3,24,38,27
3058 立德,2012/12/28,6,564,51,45,88,64,5.77,,0.17,6.5,3.7,1.57,1,-3,33,75
2439 美律,2012/12/28,5,548,59,32,98,41,3.86,,0.13,3.89,5.75,1.98,3,8,7,77
2419 仲琦,2012/12/28,6,568,52,41,96,56,6.3,,0.32,5.17,5.09,2.48,-29,-7,25,72
2485 兆赫,2012/12/28,3,639,63,50,100,65,8.51,,0.09,6.37,8.76,3.09,19,11,3,78
6285 啟碁,2012/12/28,3,747,137,42,90,75,26.72,,0.29,5.67,4.42,2.13,-1,0,50,344
2461 光群雷,2012/12/28,6,431,37,33,85,2,5.18,,0.95,4.37,5.46,2.03,-3,-3,74,38
2340 光磊,2012/12/28,5,537,67,28,99,23,10.04,,0.72,3.29,6.63,2.2,6,-4,28,68
2301 光寶科,2012/12/28,3,750,140,40,94,67,128.3,,0.26,5.12,4.82,1.73,7,-3,35,2160
2509 全坤建,2012/12/28,5,477,20,58,69,56,17.59,,2.29,4.02,18.22,1.84,0,314,41,14
6281 全國電,2012/12/28,4,706,68,68,95,80,4.37,,0,11.29,4.05,0,1,0,0,150
3015 全漢,2012/12/28,4,657,92,38,100,60,10.96,,0.02,5.06,4.13,2.36,0,-2,2,165
1618 合機,2012/12/28,5,549,38,39,100,58,8.25,,0.01,5.42,7.05,0,-17,-3,0,40
6271 同欣電,2012/12/28,4,777,65,95,100,64,15.53,,0.09,13.26,21.3,2.9,7,-2,4,70
1442 名軒,2012/12/28,6,1,18,66,-65,-40,-28.67,+,10.23,3.75,28.95,2.14,3,2226,216,13
9943 好樂迪,2012/12/28,5,703,31,95,100,48,7.5,,0.18,13.71,18.33,1.3,2,1,13,34
4414 如興,2012/12/28,D,16,20,29,-35,-7,0.95,,1.85,3.37,4.16,2.92,3,-16,263,28
8271 宇瞻,2012/12/28,5,681,43,71,100,83,2.75,,0.02,12.05,6.51,0.99,6,8,11,77
3528 安馳,2012/12/28,6,564,15,58,100,61,3.76,,0.15,9.86,5.29,3.59,-6,-21,6,26
8021 尖點,2012/12/28,5,501,31,57,100,-31,6.26,,1.59,5.05,15.8,2.99,14,-3,29,24
6196 帆宣,2012/12/28,5,481,74,4,96,35,2.64,,0.18,1.15,1.63,5.89,14,15,9,116
1451 年興,2012/12/28,4,524,86,-1,100,54,16.79,,0.1,0.91,-2.62,1.26,1,-3,10,132
9934 成霖,2012/12/28,5,475,101,-5,84,36,-1.17,,0.65,-1.75,-1.07,2.36,-4,1,66,181
4119 旭富,2012/12/28,5,599,9,94,92,24,3.86,,0.02,12.56,20.19,0.3,-10,-15,3,13
1525 江申,2012/12/28,6,561,16,56,100,62,2.67,,0,9.76,5.97,0,-4,5,0,14
6152 百一,2012/12/28,5,608,74,50,89,44,4.6,,0.2,6.06,5.56,1.86,-5,3,42,127
3591 艾笛森,2012/12/28,5,384,27,5,100,17,1.87,,0.5,0.7,2.94,1.39,1,-1,22,23
1558 伸興,2012/12/28,4,738,35,103,100,60,6.78,,0.05,16.56,14.54,1.49,10,3,6,51
5305 敦南,2012/12/28,5,523,78,17,87,54,7.21,,0.83,2.86,3.26,1.63,-1,10,55,86
3052 夆典,2012/12/28,6,270,48,30,4,71,0.98,,2.1,2.46,5.35,2.1,20,299,170,38
6277 宏正,2012/12/28,4,574,36,64,93,32,5.7,,0.38,7.86,11.68,2.55,-1,13,20,43
1236 宏亞,2012/12/28,6,442,19,32,82,64,2.68,,0.43,3.67,5.29,1.26,2,2,51,24
3605 宏致,2012/12/28,4,536,43,44,94,38,5.93,,0.54,3.99,10.7,2.41,10,3,33,44
1612 宏泰,2012/12/28,4,461,45,5,100,57,3.43,,0.06,1.33,2.67,3.52,6,8,2,53
1452 宏益,2012/12/28,5,449,15,15,100,73,-0.5,,0,3.23,3.09,0,9,3,0,22
2534 宏盛,2012/12/28,6,-73,1,-8,-4,-40,-15.39,+,216.19,-0.48,-104.77,1.82,11,88889,102,1
2536 宏普,2012/12/28,5,434,60,73,45,-40,6.59,+,3.28,5.84,28.49,1.8,7,-760,76,44
2498 宏達電,2012/12/28,3,831,140,67,91,77,230.46,,0,8.24,7.26,0,17,14,0,2890
