company,date,c_0,c_1,c_2,c_3,c_4
1310 台苯,2014,0.0,0.0,0.0,0.0,0.0
1310 台苯,2015,11.000000953674316,0.9912810921669006,1.0087339878082275,0.9999836683273317,1.0
1310 台苯,2016,28.985506057739254,2.0038604736328125,1.046604871749878,1.6195546095332247e-06,11.964027404785154
1310 台苯,2017,0.0,0.0,0.0,0.0,0.0
1314 中石化,2008,0.0,0.0,0.0,0.0,0.0
1314 中石化,2009,0.0,0.0,0.0,0.0,0.0
1314 中石化,2010,0.0,0.0,0.0,0.0,0.0
1314 中石化,2011,0.0,0.0,0.0,0.0,0.0
1314 中石化,2012,0.0,0.0,0.0,0.0,0.0
1314 中石化,2013,0.0,0.0,0.0,0.0,0.0
1314 中石化,2014,3.1004037857055664,0.0785994753241539,7.819432258605957,2.6607023073665914e-07,0.0015640314668416975
1314 中石化,2015,3.959849357604981,6.1079301834106445,2.145149946212769,0.7730990052223206,1.013970971107483
1314 中石化,2016,0.0,0.0,0.0,0.0,0.0
1314 中石化,2017,0.0,0.0,0.0,0.0,0.0
1316 上曜,2008,0.0,0.0,0.0,0.0,0.0
1316 上曜,2009,0.0,0.0,0.0,0.0,0.0
1316 上曜,2010,0.0,0.0,0.0,0.0,0.0
1316 上曜,2011,0.0,0.0,0.0,0.0,0.0
1316 上曜,2012,0.0,0.0,0.0,0.0,0.0
1316 上曜,2013,0.0,0.0,0.0,0.0,0.0
1316 上曜,2014,0.0,0.0,0.0,0.0,0.0
1316 上曜,2015,0.0,0.0,0.0,0.0,0.0
1316 上曜,2016,0.0,0.0,0.0,0.0,0.0
1316 上曜,2017,8.443319320678711,2.155223955924157e-05,0.5076778531074524,5.0660024135743e-13,0.04898160323500633
1321 大洋,2008,0.0,0.0,0.0,0.0,0.0
1321 大洋,2009,0.0,0.0,0.0,0.0,0.0
1321 大洋,2010,0.0,0.0,0.0,0.0,0.0
1321 大洋,2011,0.0,0.0,0.0,0.0,0.0
1321 大洋,2012,0.0,0.0,0.0,0.0,0.0
1321 大洋,2013,0.0,0.0,0.0,0.0,0.0
1321 大洋,2014,0.0,0.0,0.0,0.0,0.0
1321 大洋,2015,0.0,0.0,0.0,0.0,0.0
1321 大洋,2016,1.0,3.182843148177703e-32,6.949162804335828e-23,2.0132574943261642e-35,5.0777218215407926e-30
1321 大洋,2017,0.0,0.0,0.0,0.0,0.0
1323 永裕,2008,0.0,0.0,0.0,0.0,0.0
1323 永裕,2009,3.0,5.40753124580072e-28,2.9460454337556625e-20,6.3047897475641645e-28,3.0976564780886964e-27
1323 永裕,2010,6.0,4.794563161739473e-17,1.0250835735803319e-09,3.121401432924502e-22,2.5155040471957175e-14
1323 永裕,2011,0.0,0.0,0.0,0.0,0.0
1323 永裕,2012,0.0,0.0,0.0,0.0,0.0
1323 永裕,2013,0.0,0.0,0.0,0.0,0.0
1323 永裕,2014,0.0,0.0,0.0,0.0,0.0
1323 永裕,2015,0.0,0.0,0.0,0.0,0.0
1323 永裕,2016,0.0,0.0,0.0,0.0,0.0
1323 永裕,2017,0.0,0.0,0.0,0.0,0.0
1326 台化,2008,0.0,0.0,0.0,0.0,0.0
1326 台化,2009,0.0,0.0,0.0,0.0,0.0
1326 台化,2010,0.0,0.0,0.0,0.0,0.0
1326 台化,2011,46.99752426147461,5.026427268981934,6.093077659606934,3.267930708261701e-07,3.8829691410064697
1326 台化,2012,48.09537124633789,1.9946317672729488,3.644788026809693,0.39617782831192017,3.869029045104981
1326 台化,2013,0.0,0.0,0.0,0.0,0.0
1326 台化,2014,0.0,0.0,0.0,0.0,0.0
1326 台化,2015,0.0,0.0,0.0,0.0,0.0
1326 台化,2016,0.0,0.0,0.0,0.0,0.0
1326 台化,2017,0.0,0.0,0.0,0.0,0.0
1413 宏洲,2008,0.0,0.0,0.0,0.0,0.0
1413 宏洲,2009,0.0,0.0,0.0,0.0,0.0
1413 宏洲,2010,0.0,0.0,0.0,0.0,0.0
1413 宏洲,2011,0.0,0.0,0.0,0.0,0.0
1413 宏洲,2012,0.0,0.0,0.0,0.0,0.0
1413 宏洲,2013,0.0,0.0,0.0,0.0,0.0
1413 宏洲,2014,1.0,8.268733764652399e-35,7.1027135976209765e-28,3.7076926920562277e-37,1.1648730017197647e-35
1413 宏洲,2015,3.414722442626953,6.318447352241137e-15,2.6118566864852252e-08,1.5319608541741403e-19,1.5852775573730469
1413 宏洲,2016,0.0,0.0,0.0,0.0,0.0
1413 宏洲,2017,0.0,0.0,0.0,0.0,0.0
1414 東和,2008,7.0,6.915070287050531e-24,8.079152716842022e-15,9.059594968781092e-24,1.9644314933086917e-20
1414 東和,2009,7.000000953674316,1.531588542786049e-14,8.403890916497403e-09,2.544274278274567e-21,0.9999991655349731
1414 東和,2010,0.0,0.0,0.0,0.0,0.0
1414 東和,2011,0.0,0.0,0.0,0.0,0.0
1414 東和,2012,0.0,0.0,0.0,0.0,0.0
1414 東和,2013,0.0,0.0,0.0,0.0,0.0
1414 東和,2014,0.0,0.0,0.0,0.0,0.0
1414 東和,2015,0.0,0.0,0.0,0.0,0.0
1414 東和,2016,0.0,0.0,0.0,0.0,0.0
1414 東和,2017,0.0,0.0,0.0,0.0,0.0
1432 大魯閣,2008,0.0,0.0,0.0,0.0,0.0
1432 大魯閣,2009,0.0,0.0,0.0,0.0,0.0
1432 大魯閣,2010,0.0,0.0,0.0,0.0,0.0
1432 大魯閣,2011,2.9646520614624023,1.362554374884084e-10,0.00012667800183407962,1.8126139043820973e-18,3.035221099853516
1432 大魯閣,2012,3.0,4.3957632690016395e-29,4.8358775950536446e-21,1.7252689444716433e-31,8.079002875393593e-29
1432 大魯閣,2013,0.0,0.0,0.0,0.0,0.0
1432 大魯閣,2014,0.0,0.0,0.0,0.0,0.0
1432 大魯閣,2015,0.0,0.0,0.0,0.0,0.0
1432 大魯閣,2016,0.0,0.0,0.0,0.0,0.0
1432 大魯閣,2017,0.0,0.0,0.0,0.0,0.0
1442 名軒,2008,4.000234127044679,9.698291592030726e-08,0.9943476319313048,1.71154626929515e-12,0.005418133921921253
1442 名軒,2009,2.9996852874755864,5.6509549040129066e-08,0.34450170397758484,2.7142021269410677e-12,0.6558131575584412
1442 名軒,2010,0.0,0.0,0.0,0.0,0.0
1442 名軒,2011,0.0,0.0,0.0,0.0,0.0
1442 名軒,2012,0.0,0.0,0.0,0.0,0.0
1442 名軒,2013,0.0,0.0,0.0,0.0,0.0
1442 名軒,2014,0.0,0.0,0.0,0.0,0.0
1442 名軒,2015,0.0,0.0,0.0,0.0,0.0
1442 名軒,2016,0.0,0.0,0.0,0.0,0.0
1442 名軒,2017,0.0,0.0,0.0,0.0,0.0
1447 力鵬,2008,0.0,0.0,0.0,0.0,0.0
1447 力鵬,2009,0.0,0.0,0.0,0.0,0.0
1447 力鵬,2010,0.0,0.0,0.0,0.0,0.0
1447 力鵬,2011,0.0,0.0,0.0,0.0,0.0
1447 力鵬,2012,0.0,0.0,0.0,0.0,0.0
1447 力鵬,2013,0.0,0.0,0.0,0.0,0.0
1447 力鵬,2014,0.0,0.0,0.0,0.0,0.0
1447 力鵬,2015,0.0,0.0,0.0,0.0,0.0
1447 力鵬,2016,6.0,2.1785261644673984e-23,1.433523472724272e-14,3.9285288226135763e-22,3.659011225305227e-21
